publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,principal_offence_id,jurisdiction_id,court_level_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_principal_offence,raw_jurisdiction,raw_court_level,raw_classification_context
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,ACT,ALL_COURTS,ANZSOC_2011,defendant-count,person,544,observed,544,sha256:8635cea4f8a99ed81d423aae198e89edf7f0d2c0f62271911b3743c735afbc05,Table 52,R32C3,sha256:2e89d0bffe4fc65b6dcb78773ea98dbc6d5ba204eeaf4b278bfd3df7b397b5cf,criminal-courts-australia,sha256:7bfbc051fb035be0e508dede8645f98d8feac6c82b6363f487b7c4e1a0cf42a6,tidy.table-family-acceptance/v2,sha256:94ae65ea27fd1e3a5f21e6d82fea226e6f9b569327e76bef2657db9483a30ce5,sha256:dd4aa2e136884b9a54c87b9de8ee23ed243a1dd5a441a0a37fed616d9230fbfe,sha256:51fcd67f6f613fc770f29fa92e5320bb875b82baaf2b766f122570d51339a0d2,human-authored/deterministic-map-v1,replay:sha256:45e05ea7acc0f77c33083e5c164f0f9b560b7d55c88c64219cde704913ecc6fe,Adjudicated outcomes,Method of finalisation,2020–21,02 Acts intended to cause injury,"Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,ACT,ALL_COURTS,ANZSOC_2011,defendant-count,person,45,observed,45,sha256:8635cea4f8a99ed81d423aae198e89edf7f0d2c0f62271911b3743c735afbc05,Table 52,R32C4,sha256:2e89d0bffe4fc65b6dcb78773ea98dbc6d5ba204eeaf4b278bfd3df7b397b5cf,criminal-courts-australia,sha256:7bfbc051fb035be0e508dede8645f98d8feac6c82b6363f487b7c4e1a0cf42a6,tidy.table-family-acceptance/v2,sha256:94ae65ea27fd1e3a5f21e6d82fea226e6f9b569327e76bef2657db9483a30ce5,sha256:dd4aa2e136884b9a54c87b9de8ee23ed243a1dd5a441a0a37fed616d9230fbfe,sha256:51fcd67f6f613fc770f29fa92e5320bb875b82baaf2b766f122570d51339a0d2,human-authored/deterministic-map-v1,replay:sha256:45e05ea7acc0f77c33083e5c164f0f9b560b7d55c88c64219cde704913ecc6fe,Adjudicated outcomes,Method of finalisation,2020–21,03 Sexual assault & related offences,"Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_04_DANGEROUS_NEGLIGENT_ACTS,ACT,ALL_COURTS,ANZSOC_2011,defendant-count,person,125,observed,125,sha256:8635cea4f8a99ed81d423aae198e89edf7f0d2c0f62271911b3743c735afbc05,Table 52,R32C5,sha256:2e89d0bffe4fc65b6dcb78773ea98dbc6d5ba204eeaf4b278bfd3df7b397b5cf,criminal-courts-australia,sha256:7bfbc051fb035be0e508dede8645f98d8feac6c82b6363f487b7c4e1a0cf42a6,tidy.table-family-acceptance/v2,sha256:94ae65ea27fd1e3a5f21e6d82fea226e6f9b569327e76bef2657db9483a30ce5,sha256:dd4aa2e136884b9a54c87b9de8ee23ed243a1dd5a441a0a37fed616d9230fbfe,sha256:51fcd67f6f613fc770f29fa92e5320bb875b82baaf2b766f122570d51339a0d2,human-authored/deterministic-map-v1,replay:sha256:45e05ea7acc0f77c33083e5c164f0f9b560b7d55c88c64219cde704913ecc6fe,Adjudicated outcomes,Method of finalisation,2020–21,04 Dangerous/ negligent acts,"Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_05_ABDUCTION_HARASSMENT,ACT,ALL_COURTS,ANZSOC_2011,defendant-count,person,7,observed,7,sha256:8635cea4f8a99ed81d423aae198e89edf7f0d2c0f62271911b3743c735afbc05,Table 52,R32C6,sha256:2e89d0bffe4fc65b6dcb78773ea98dbc6d5ba204eeaf4b278bfd3df7b397b5cf,criminal-courts-australia,sha256:7bfbc051fb035be0e508dede8645f98d8feac6c82b6363f487b7c4e1a0cf42a6,tidy.table-family-acceptance/v2,sha256:94ae65ea27fd1e3a5f21e6d82fea226e6f9b569327e76bef2657db9483a30ce5,sha256:dd4aa2e136884b9a54c87b9de8ee23ed243a1dd5a441a0a37fed616d9230fbfe,sha256:51fcd67f6f613fc770f29fa92e5320bb875b82baaf2b766f122570d51339a0d2,human-authored/deterministic-map-v1,replay:sha256:45e05ea7acc0f77c33083e5c164f0f9b560b7d55c88c64219cde704913ecc6fe,Adjudicated outcomes,Method of finalisation,2020–21, 05 Abduction/ harassment,"Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_06_ROBBERY_EXTORTION,ACT,ALL_COURTS,ANZSOC_2011,defendant-count,person,46,observed,46,sha256:8635cea4f8a99ed81d423aae198e89edf7f0d2c0f62271911b3743c735afbc05,Table 52,R32C7,sha256:2e89d0bffe4fc65b6dcb78773ea98dbc6d5ba204eeaf4b278bfd3df7b397b5cf,criminal-courts-australia,sha256:7bfbc051fb035be0e508dede8645f98d8feac6c82b6363f487b7c4e1a0cf42a6,tidy.table-family-acceptance/v2,sha256:94ae65ea27fd1e3a5f21e6d82fea226e6f9b569327e76bef2657db9483a30ce5,sha256:dd4aa2e136884b9a54c87b9de8ee23ed243a1dd5a441a0a37fed616d9230fbfe,sha256:51fcd67f6f613fc770f29fa92e5320bb875b82baaf2b766f122570d51339a0d2,human-authored/deterministic-map-v1,replay:sha256:45e05ea7acc0f77c33083e5c164f0f9b560b7d55c88c64219cde704913ecc6fe,Adjudicated outcomes,Method of finalisation,2020–21,06 Robbery/ extortion,"Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_07_UNLAWFUL_ENTRY_WITH_INTENT,ACT,ALL_COURTS,ANZSOC_2011,defendant-count,person,64,observed,64,sha256:8635cea4f8a99ed81d423aae198e89edf7f0d2c0f62271911b3743c735afbc05,Table 52,R32C8,sha256:2e89d0bffe4fc65b6dcb78773ea98dbc6d5ba204eeaf4b278bfd3df7b397b5cf,criminal-courts-australia,sha256:7bfbc051fb035be0e508dede8645f98d8feac6c82b6363f487b7c4e1a0cf42a6,tidy.table-family-acceptance/v2,sha256:94ae65ea27fd1e3a5f21e6d82fea226e6f9b569327e76bef2657db9483a30ce5,sha256:dd4aa2e136884b9a54c87b9de8ee23ed243a1dd5a441a0a37fed616d9230fbfe,sha256:51fcd67f6f613fc770f29fa92e5320bb875b82baaf2b766f122570d51339a0d2,human-authored/deterministic-map-v1,replay:sha256:45e05ea7acc0f77c33083e5c164f0f9b560b7d55c88c64219cde704913ecc6fe,Adjudicated outcomes,Method of finalisation,2020–21,07 Unlawful entry with intent,"Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_08_THEFT,ACT,ALL_COURTS,ANZSOC_2011,defendant-count,person,196,observed,196,sha256:8635cea4f8a99ed81d423aae198e89edf7f0d2c0f62271911b3743c735afbc05,Table 52,R32C9,sha256:2e89d0bffe4fc65b6dcb78773ea98dbc6d5ba204eeaf4b278bfd3df7b397b5cf,criminal-courts-australia,sha256:7bfbc051fb035be0e508dede8645f98d8feac6c82b6363f487b7c4e1a0cf42a6,tidy.table-family-acceptance/v2,sha256:94ae65ea27fd1e3a5f21e6d82fea226e6f9b569327e76bef2657db9483a30ce5,sha256:dd4aa2e136884b9a54c87b9de8ee23ed243a1dd5a441a0a37fed616d9230fbfe,sha256:51fcd67f6f613fc770f29fa92e5320bb875b82baaf2b766f122570d51339a0d2,human-authored/deterministic-map-v1,replay:sha256:45e05ea7acc0f77c33083e5c164f0f9b560b7d55c88c64219cde704913ecc6fe,Adjudicated outcomes,Method of finalisation,2020–21,08 Theft,"Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_09_FRAUD_DECEPTION,ACT,ALL_COURTS,ANZSOC_2011,defendant-count,person,11,observed,11,sha256:8635cea4f8a99ed81d423aae198e89edf7f0d2c0f62271911b3743c735afbc05,Table 52,R32C10,sha256:2e89d0bffe4fc65b6dcb78773ea98dbc6d5ba204eeaf4b278bfd3df7b397b5cf,criminal-courts-australia,sha256:7bfbc051fb035be0e508dede8645f98d8feac6c82b6363f487b7c4e1a0cf42a6,tidy.table-family-acceptance/v2,sha256:94ae65ea27fd1e3a5f21e6d82fea226e6f9b569327e76bef2657db9483a30ce5,sha256:dd4aa2e136884b9a54c87b9de8ee23ed243a1dd5a441a0a37fed616d9230fbfe,sha256:51fcd67f6f613fc770f29fa92e5320bb875b82baaf2b766f122570d51339a0d2,human-authored/deterministic-map-v1,replay:sha256:45e05ea7acc0f77c33083e5c164f0f9b560b7d55c88c64219cde704913ecc6fe,Adjudicated outcomes,Method of finalisation,2020–21,09 Fraud/ deception,"Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_10_ILLICIT_DRUG_OFFENCES,ACT,ALL_COURTS,ANZSOC_2011,defendant-count,person,72,observed,72,sha256:8635cea4f8a99ed81d423aae198e89edf7f0d2c0f62271911b3743c735afbc05,Table 52,R32C11,sha256:2e89d0bffe4fc65b6dcb78773ea98dbc6d5ba204eeaf4b278bfd3df7b397b5cf,criminal-courts-australia,sha256:7bfbc051fb035be0e508dede8645f98d8feac6c82b6363f487b7c4e1a0cf42a6,tidy.table-family-acceptance/v2,sha256:94ae65ea27fd1e3a5f21e6d82fea226e6f9b569327e76bef2657db9483a30ce5,sha256:dd4aa2e136884b9a54c87b9de8ee23ed243a1dd5a441a0a37fed616d9230fbfe,sha256:51fcd67f6f613fc770f29fa92e5320bb875b82baaf2b766f122570d51339a0d2,human-authored/deterministic-map-v1,replay:sha256:45e05ea7acc0f77c33083e5c164f0f9b560b7d55c88c64219cde704913ecc6fe,Adjudicated outcomes,Method of finalisation,2020–21,10 Illicit drug offences,"Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_11_WEAPONS_EXPLOSIVES,ACT,ALL_COURTS,ANZSOC_2011,defendant-count,person,75,observed,75,sha256:8635cea4f8a99ed81d423aae198e89edf7f0d2c0f62271911b3743c735afbc05,Table 52,R32C12,sha256:2e89d0bffe4fc65b6dcb78773ea98dbc6d5ba204eeaf4b278bfd3df7b397b5cf,criminal-courts-australia,sha256:7bfbc051fb035be0e508dede8645f98d8feac6c82b6363f487b7c4e1a0cf42a6,tidy.table-family-acceptance/v2,sha256:94ae65ea27fd1e3a5f21e6d82fea226e6f9b569327e76bef2657db9483a30ce5,sha256:dd4aa2e136884b9a54c87b9de8ee23ed243a1dd5a441a0a37fed616d9230fbfe,sha256:51fcd67f6f613fc770f29fa92e5320bb875b82baaf2b766f122570d51339a0d2,human-authored/deterministic-map-v1,replay:sha256:45e05ea7acc0f77c33083e5c164f0f9b560b7d55c88c64219cde704913ecc6fe,Adjudicated outcomes,Method of finalisation,2020–21,11 Weapons/ explosives,"Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_12_PROPERTY_DAMAGE_AND_ENVIRONMENTAL_POLLUTION,ACT,ALL_COURTS,ANZSOC_2011,defendant-count,person,117,observed,117,sha256:8635cea4f8a99ed81d423aae198e89edf7f0d2c0f62271911b3743c735afbc05,Table 52,R32C13,sha256:2e89d0bffe4fc65b6dcb78773ea98dbc6d5ba204eeaf4b278bfd3df7b397b5cf,criminal-courts-australia,sha256:7bfbc051fb035be0e508dede8645f98d8feac6c82b6363f487b7c4e1a0cf42a6,tidy.table-family-acceptance/v2,sha256:94ae65ea27fd1e3a5f21e6d82fea226e6f9b569327e76bef2657db9483a30ce5,sha256:dd4aa2e136884b9a54c87b9de8ee23ed243a1dd5a441a0a37fed616d9230fbfe,sha256:51fcd67f6f613fc770f29fa92e5320bb875b82baaf2b766f122570d51339a0d2,human-authored/deterministic-map-v1,replay:sha256:45e05ea7acc0f77c33083e5c164f0f9b560b7d55c88c64219cde704913ecc6fe,Adjudicated outcomes,Method of finalisation,2020–21,12 Property damage & environmental pollution,"Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_13_PUBLIC_ORDER_OFFENCES,ACT,ALL_COURTS,ANZSOC_2011,defendant-count,person,105,observed,105,sha256:8635cea4f8a99ed81d423aae198e89edf7f0d2c0f62271911b3743c735afbc05,Table 52,R32C14,sha256:2e89d0bffe4fc65b6dcb78773ea98dbc6d5ba204eeaf4b278bfd3df7b397b5cf,criminal-courts-australia,sha256:7bfbc051fb035be0e508dede8645f98d8feac6c82b6363f487b7c4e1a0cf42a6,tidy.table-family-acceptance/v2,sha256:94ae65ea27fd1e3a5f21e6d82fea226e6f9b569327e76bef2657db9483a30ce5,sha256:dd4aa2e136884b9a54c87b9de8ee23ed243a1dd5a441a0a37fed616d9230fbfe,sha256:51fcd67f6f613fc770f29fa92e5320bb875b82baaf2b766f122570d51339a0d2,human-authored/deterministic-map-v1,replay:sha256:45e05ea7acc0f77c33083e5c164f0f9b560b7d55c88c64219cde704913ecc6fe,Adjudicated outcomes,Method of finalisation,2020–21,13 Public order offences,"Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_14_TRAFFIC_AND_VEHICLE_REGULATORY_OFFENCES,ACT,ALL_COURTS,ANZSOC_2011,defendant-count,person,3612,observed,3612,sha256:8635cea4f8a99ed81d423aae198e89edf7f0d2c0f62271911b3743c735afbc05,Table 52,R32C15,sha256:2e89d0bffe4fc65b6dcb78773ea98dbc6d5ba204eeaf4b278bfd3df7b397b5cf,criminal-courts-australia,sha256:7bfbc051fb035be0e508dede8645f98d8feac6c82b6363f487b7c4e1a0cf42a6,tidy.table-family-acceptance/v2,sha256:94ae65ea27fd1e3a5f21e6d82fea226e6f9b569327e76bef2657db9483a30ce5,sha256:dd4aa2e136884b9a54c87b9de8ee23ed243a1dd5a441a0a37fed616d9230fbfe,sha256:51fcd67f6f613fc770f29fa92e5320bb875b82baaf2b766f122570d51339a0d2,human-authored/deterministic-map-v1,replay:sha256:45e05ea7acc0f77c33083e5c164f0f9b560b7d55c88c64219cde704913ecc6fe,Adjudicated outcomes,Method of finalisation,2020–21,14 Traffic & vehicle regulatory offences,"Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_15_OFFENCES_AGAINST_JUSTICE,ACT,ALL_COURTS,ANZSOC_2011,defendant-count,person,187,observed,187,sha256:8635cea4f8a99ed81d423aae198e89edf7f0d2c0f62271911b3743c735afbc05,Table 52,R32C16,sha256:2e89d0bffe4fc65b6dcb78773ea98dbc6d5ba204eeaf4b278bfd3df7b397b5cf,criminal-courts-australia,sha256:7bfbc051fb035be0e508dede8645f98d8feac6c82b6363f487b7c4e1a0cf42a6,tidy.table-family-acceptance/v2,sha256:94ae65ea27fd1e3a5f21e6d82fea226e6f9b569327e76bef2657db9483a30ce5,sha256:dd4aa2e136884b9a54c87b9de8ee23ed243a1dd5a441a0a37fed616d9230fbfe,sha256:51fcd67f6f613fc770f29fa92e5320bb875b82baaf2b766f122570d51339a0d2,human-authored/deterministic-map-v1,replay:sha256:45e05ea7acc0f77c33083e5c164f0f9b560b7d55c88c64219cde704913ecc6fe,Adjudicated outcomes,Method of finalisation,2020–21,15 Offences against justice,"Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22","Table 52 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, All Courts – Australian Capital Territory, 2020–21 to 2021–22"
